Sequence	Contig	Position	SexBias	P	Signif
4374831	CP020630.1	18594523	0.0365591	0.957978	False
4376818	CP020628.1	24301322	0.207527	0.14489	False
4377316	CP020642.1	5725174	0.305376	0.0212902	False
4378113	CP020626.1	27209106	0.0333334	0.973624	False
4378619	CP020624.1	1045468	-0.146237	0.371811	False
4379218	CP020629.1	20199506	-0.22043	0.101267	False
4379589	CP020633.1	25099531	0.188172	0.166369	False
4380309	CP020640.1	18174018	-0.158064	0.201356	False
4381388	CP020636.1	4167168	0.0870968	0.652231	False
4381625	CP020625.1	17297611	0.147312	0.368866	False
4381880	CP020643.1	20332783	-0.0182796	1	False
4382108	CP020633.1	16806692	-0.0322581	1	False
4384074	CP020631.1	26569967	-0.22043	0.101267	False
4385018	CP020634.1	28660090	0.111828	0.527561	False
4385644	CP020641.1	8706800	0	1	False
4385986	CP020624.1	6959545	-0.0623656	0.693026	False
4386217	CP020636.1	16628435	-0.0322581	1	False
4386690	CP020629.1	21517219	0	1	False
4386952	CP020636.1	10498506	0.113978	0.522859	False
4387309	CP020637.1	19324577	0	1	False
4387803	CP020639.1	6830602	0	1	False
4387926	CP020640.1	4316312	0	1	False
4388712	CP020638.1	11996649	-0.0645161	0.47938	False
4388938	CP020623.1	19112537	0	1	False
4389402	CP020636.1	30239505	0	1	False
4390464	CP020621.1	34882212	-0.0913978	0.572829	False
4390519	CP020641.1	27932375	0.18172	0.24155	False
4390948	CP020622.1	20554156	0.0387096	0.947758	False
4391412	CP020639.1	12653713	0	1	False
4391610	CP020643.1	23862195	0.108602	0.519773	False
4392020	CP020623.1	38921142	0	1	False
4392280	CP020622.1	8654311	0	1	False
4392501	CP020636.1	20614364	-0.152688	0.322323	False
4393092	CP020627.1	19418711	-0.0752688	0.712706	False
4394153	CP020623.1	7985880	0	1	False
4394446	CP020644.1	6312104	-0.0956989	0.366516	False
4396042	CP020635.1	28539787	0	1	False
4396808	CP020626.1	4883587	0	1	False
4396988	CP020622.1	8288648	-0.0784946	0.71171	False
4397064	CP020630.1	5741942	0	1	False
4397872	CP020634.1	27865500	0.189247	0.144928	False
4397988	CP020636.1	10664166	-0.15914	0.162427	False
4398379	CP020642.1	11930122	-0.0784946	0.71171	False
4398411	CP020642.1	17295651	0.0354839	0.963377	False
4399728	CP020636.1	17596640	0.0387096	0.947758	False
4399787	CP020634.1	23651199	-0.0322581	1	False
4399791	CP020636.1	28216902	-0.343011	0.0148949	False
4400935	CP020630.1	19866749	-0.0215054	1	False
4401236	CP020643.1	22489183	0.273118	0.0451359	False
4402168	CP020627.1	12731630	-0.127957	0.20957	False
4402761	CP020639.1	917875	0.0354839	0.963377	False
4403039	CP020627.1	733280	-0.0580645	0.810625	False
4403124	CP020637.1	3024746	0.0333334	0.973624	False
4403490	CP020627.1	5417588	0.149462	0.356863	False
4403906	CP020627.1	24389010	0	1	False
4403998	CP020633.1	25997342	-0.0172043	1	False
4404942	CP020634.1	25289546	0.149462	0.356863	False
4405057	CP020644.1	17458883	0	1	False
4405421	CP020644.1	11505791	0.0774193	0.713453	False
4405749	CP020632.1	17950458	0	1	False
4405806	CP020642.1	12002323	0.0139785	1	False
4406017	CP020624.1	31605625	0.0107527	1	False
4406412	CP020628.1	19912558	0.0333334	0.973624	False
4406493	CP020644.1	13939478	0.0505376	0.886108	False
4407627	CP020631.1	2461893	-0.0817205	0.699265	False
4407721	CP020627.1	2107594	0	1	False
4408246	CP020633.1	31128882	0	1	False
4408252	CP020636.1	32053216	-0.044086	0.922566	False
4409204	CP020626.1	2347046	0	1	False
4409405	CP020641.1	3296992	-0.0268817	1	False
4409951	CP020632.1	757097	0.0763441	0.713849	False
4410167	CP020630.1	15808130	0	1	False
4410235	CP020629.1	3826250	0.156989	0.234324	False
4410566	CP020636.1	27656721	-0.027957	1	False
4410642	CP020639.1	17976557	-0.153763	0.305612	False
4410989	CP020624.1	27110619	0	1	False
4411507	CP020626.1	30787009	0.277419	0.0547345	False
4411570	CP020624.1	13192137	0	1	False
4411707	CP020636.1	16808345	0	1	False
4411771	CP020628.1	5629914	0.0333334	0.973624	False
4411910	CP020623.1	3243916	-0.0634409	0.622808	False
4411990	CP020639.1	23952835	0.201075	0.0508527	False
4412013	CP020629.1	59312	-0.0247312	1	False
4412566	CP020637.1	19956246	0.0677419	0.575671	False
4412756	CP020644.1	336074	-0.0537634	0.861184	False
4413668	CP020641.1	8932483	-0.283871	0.0386628	False
4413840	CP020625.1	19967513	0	1	False
4414148	CP020627.1	24521913	0.136559	0.271313	False
4414493	CP020627.1	32245834	-0.0602151	0.768103	False
4415546	CP020644.1	19764384	0.016129	1	False
4415852	CP020631.1	4624141	0.103226	0.434598	False
4416572	CP020635.1	6516425	0.0698925	0.66333	False
4416817	CP020629.1	24137550	0.0677419	0.575671	False
4416948	CP020639.1	1765126	-0.136559	0.271313	False
4417032	CP020627.1	10691565	0	1	False
4417069	CP020637.1	32440056	0.0548387	0.85102	False
4417374	CP020641.1	13274016	0	1	False
4417582	CP020623.1	18872524	0	1	False
4417935	CP020628.1	254131	-0.0602151	0.768103	False
4418777	CP020632.1	14487493	0.0494623	0.89311	False
4419249	CP020632.1	3028654	0	1	False
4419863	CP020640.1	13397884	0	1	False
4420303	CP020629.1	627820	0.00752687	1	False
4420693	CP020626.1	28169065	-0.154839	0.285735	False
4421668	CP020637.1	21630956	0	1	False
4421861	CP020639.1	12852408	-0.0322581	1	False
4422257	CP020632.1	2197492	-0.0408602	0.937829	False
4422903	CP020641.1	25000591	0	1	False
4423787	CP020635.1	15577758	0.0548387	0.85102	False
4424660	CP020629.1	15270173	0.0139785	1	False
4424758	CP020637.1	4543767	0.121505	0.444828	False
4424784	CP020636.1	27597466	0.0666667	0.450577	False
4425596	CP020636.1	5483159	0	1	False
4426000	CP020621.1	941714	0.0333334	0.973624	False
4427616	CP020623.1	3048328	0	1	False
4428046	CP020626.1	16605332	0.166667	0.0557258	False
4428553	CP020624.1	25550012	0	1	False
4429084	CP020630.1	3349327	0.0333334	0.973624	False
4429500	CP020626.1	9414832	-0.282796	0.0435417	False
4430265	CP020631.1	10169114	0.072043	0.695957	False
4431615	CP020638.1	4854491	0	1	False
4432205	CP020622.1	22868407	0.0333334	0.973624	False
4432698	CP020634.1	29512631	0.0924731	0.540837	False
4433472	CP020639.1	10641651	0	1	False
4433630	CP020638.1	1013980	-0.0580645	0.810625	False
4434906	CP020644.1	11683178	-0.151613	0.336255	False
4435013	CP020621.1	16898317	0.00107527	1	False
4435384	CP020643.1	11662729	-0.276344	0.0539537	False
4435609	CP020630.1	5477908	0.00537634	1	False
4437040	CP020625.1	2914775	0.192473	0.063851	False
4437069	CP020634.1	20185979	0.0118279	1	False
4439474	CP020633.1	1336475	0.0795699	0.708735	False
4439604	CP020637.1	6548539	-0.177419	0.249121	False
4440481	CP020621.1	31175088	0.103226	0.434598	False
4440684	CP020625.1	3664688	0	1	False
4441045	CP020633.1	31699166	-0.0215054	1	False
4441149	CP020632.1	1675070	0.104301	0.464368	False
4442311	CP020636.1	7208895	-0.016129	1	False
4442335	CP020634.1	16477281	0.0483871	0.899647	False
4442798	CP020624.1	28822105	0	1	False
4443102	CP020642.1	2348072	-0.12043	0.463325	False
4443158	CP020636.1	15478568	0.137634	0.300646	False
4444211	CP020640.1	19254901	-0.072043	0.695957	False
4444323	CP020629.1	23668680	-0.0967742	0.244047	False
4444539	CP020626.1	25758141	-0.153763	0.305612	False
4445306	CP020629.1	31567393	0	1	False
4445617	CP020623.1	12316847	0	1	False
4447307	CP020639.1	7656610	0	1	False
4448033	CP020633.1	32707817	-0.0537634	0.861184	False
4448714	CP020629.1	30600030	0	1	False
4449088	CP020622.1	23338688	-0.039785	0.942787	False
4449344	CP020644.1	5143915	0.125806	0.32382	False
4449583	CP020639.1	4862977	0.245161	0.0959889	False
4449588	CP020642.1	118881	0.0483871	0.899647	False
4450183	CP020624.1	6817565	-0.0924731	0.540837	False
4450501	CP020634.1	2056566	0.0139785	1	False
4451543	CP020632.1	5718206	-0.0301076	1	False
4454051	CP020632.1	4232187	0.0569892	0.826241	False
4454185	CP020638.1	17913768	0	1	False
4455376	CP020634.1	29791989	0	1	False
4455713	CP020622.1	9767047	-0.0774194	0.713453	False
4456185	CP020640.1	26805549	0.174194	0.231412	False
4456866	CP020627.1	3316673	-0.108602	0.519773	False
4458737	CP020634.1	21782451	-0.246237	0.0946772	False
4460135	CP020631.1	23799988	0	1	False
4460168	CP020622.1	20021608	0	1	False
4460336	CP020623.1	17014003	-0.0301076	1	False
4462066	CP020624.1	4274516	0.156989	0.234324	False
4462684	CP020633.1	595085	-0.0795699	0.708735	False
4463194	CP020642.1	6071353	-0.154839	0.285735	False
4463361	CP020626.1	13656091	-0.127957	0.20957	False
4464333	CP020627.1	33234359	-0.0193549	1	False
4464340	CP020644.1	8733435	-0.113979	0.522859	False
4465007	CP020632.1	921864	0.0763441	0.713849	False
4465047	CP020643.1	11020299	-0.145161	0.372693	False
4466146	CP020621.1	38047967	0.124731	0.363715	False
4466539	CP020639.1	22475216	0	1	False
4466590	CP020633.1	1869583	-0.37957	0.0061022	False
4466643	CP020641.1	16606053	-0.136559	0.271313	False
4466925	CP020628.1	23653633	0.0419355	0.932835	False
4468296	CP020629.1	22700767	0	1	False
4470357	CP020641.1	7190319	-0.0634409	0.622808	False
4470920	CP020640.1	24782834	0.207527	0.14489	False
4471790	CP020628.1	7581332	-0.0322581	1	False
4472240	CP020634.1	29603081	0.00107527	1	False
4472584	CP020626.1	32793790	0	1	False
4472848	CP020628.1	25533337	0	1	False
4473577	CP020638.1	1062917	-0.0580645	0.810625	False
4473634	CP020641.1	4414768	0.0344086	0.969025	False
4473917	CP020631.1	25437368	-0.187097	0.184969	False
4473975	CP020628.1	25029446	0.308602	0.0282359	False
4474003	CP020622.1	6686851	-0.170968	0.185976	False
4474473	CP020622.1	2338672	-0.0741936	0.709715	False
4474659	CP020623.1	16977682	0.0333334	0.973624	False
4475078	CP020628.1	1211952	0.0333334	0.973624	False
4475147	CP020638.1	10420728	-0.0473118	0.905799	False
4475399	CP020621.1	38142822	0.0333334	0.973624	False
4475810	CP020633.1	5196235	0.072043	0.695957	False
4476119	CP020637.1	12672420	0.176344	0.245707	False
4476150	CP020626.1	28916595	-0.0462366	0.911632	False
4476835	CP020631.1	6767742	-0.0268817	1	False
4476847	CP020626.1	32229873	0	1	False
4476988	CP020631.1	21692217	-0.0903226	0.598546	False
4477603	CP020642.1	24937242	0.110753	0.527127	False
4477703	CP020632.1	25331895	-0.0645161	0.47938	False
4478553	CP020625.1	614245	0.0344086	0.969025	False
4480060	CP020628.1	1651637	0	1	False
4480076	CP020628.1	20077556	0.116129	0.511067	False
4480700	CP020629.1	4637577	0	1	False
4481593	CP020627.1	9537059	-0.175269	0.239889	False
4481879	CP020621.1	38335363	0.124731	0.363715	False
4484439	CP020623.1	38808547	0.055914	0.839507	False
4484674	CP020636.1	20923400	0	1	False
4484956	CP020631.1	4305680	0	1	False
4485075	CP020643.1	23541471	0.0483871	0.899647	False
4485258	CP020644.1	4667357	0.00537634	1	False
4486236	CP020623.1	26996519	0.072043	0.695957	False
4487530	CP020629.1	12314494	-0.127957	0.20957	False
4487598	CP020636.1	30631481	-0.31828	0.0143375	False
4487737	CP020629.1	28274365	0	1	False
4487856	CP020627.1	9373214	0	1	False
4488134	CP020643.1	8545120	0.284946	0.033127	False
4488168	CP020642.1	13193977	0	1	False
4488585	CP020633.1	17316659	0.156989	0.234324	False
4489056	CP020627.1	21049754	0.133333	0.110857	False
4490572	CP020626.1	10344883	0	1	False
4491161	CP020641.1	29416573	-0.039785	0.942787	False
4491322	CP020639.1	1787046	0.0333334	0.973624	False
4491755	CP020629.1	18660824	0	1	False
4491964	CP020641.1	32578922	0.137634	0.300646	False
4493031	CP020625.1	21115559	0.0344086	0.969025	False
4493573	CP020625.1	23381567	0.0677419	0.575671	False
4493923	CP020626.1	20509334	0	1	False
4494574	CP020624.1	23069177	0	1	False
4495094	CP020626.1	31018429	-0.0268817	1	False
4495158	CP020643.1	6300413	0	1	False
4495241	CP020639.1	8388113	0	1	False
4496440	CP020626.1	19843464	-0.127957	0.20957	False
4496559	CP020642.1	93959	0	1	False
4497022	CP020638.1	19904622	0	1	False
4497486	CP020627.1	8165870	0	1	False
4497858	CP020632.1	147857	0.109677	0.524624	False
4497908	CP020631.1	12224981	-0.183871	0.225583	False
4497912	CP020622.1	13182363	0	1	False
4498080	CP020624.1	26549703	0.0741935	0.709715	False
4498088	CP020643.1	1771317	0.170968	0.185976	False
4498445	CP020635.1	28940653	0	1	False
4498624	CP020633.1	4505322	0	1	False
4498712	CP020626.1	2349520	0	1	False
4498863	CP020635.1	27544280	0	1	False
4499035	CP020624.1	23000766	-0.0290322	1	False
4499147	CP020638.1	28945249	0.00967741	1	False
4499329	CP020641.1	6170828	0.246237	0.0946772	False
4499506	CP020626.1	5645271	-0.0473118	0.905799	False
4499893	CP020639.1	17609923	-0.139785	0.339851	False
4500283	CP020636.1	1384445	-0.124731	0.363715	False
4500294	CP020623.1	18365705	-0.0290322	1	False
4501426	CP020632.1	26656532	0	1	False
4501672	CP020631.1	1180767	0.0451612	0.917204	False
4502152	CP020623.1	7286345	0	1	False
4502741	CP020632.1	17713509	0.0333334	0.973624	False
4503549	CP020637.1	32155245	0.0569892	0.826241	False
4504825	CP020637.1	27474464	0	1	False
4505856	CP020636.1	3164274	-0.153763	0.305612	False
4506739	CP020627.1	19662351	0.044086	0.922566	False
4508280	CP020621.1	36684005	-0.0311828	1	False
4509030	CP020630.1	33404901	0.106452	0.501112	False
4510458	CP020643.1	4323463	-0.0182796	1	False
4510708	CP020637.1	8775651	0	1	False
4510974	CP020633.1	24108467	0	1	False
4511095	CP020642.1	13730239	0	1	False
4511402	CP020640.1	24630551	0	1	False
4511752	CP020625.1	7864463	-0.122581	0.4227	False
4512193	CP020622.1	19740202	-0.211828	0.159418	False
4512398	CP020628.1	6254916	0.207527	0.14489	False
4513123	CP020629.1	5452497	-0.0967742	0.244047	False
4513275	CP020635.1	3860323	0	1	False
4513536	CP020635.1	5510996	-0.0795699	0.708735	False
4513880	CP020643.1	22818142	0.0483871	0.899647	False
4514811	CP020641.1	29868027	0.154839	0.285735	False
4515832	CP020626.1	7538606	0.0193548	1	False
4516363	CP020634.1	16711057	-0.0870968	0.652231	False
4516432	CP020637.1	22899195	0	1	False
4516765	CP020642.1	2810310	-0.0322581	1	False
4517555	CP020636.1	14923754	0.0408602	0.937829	False
4517692	CP020628.1	11113224	-0.0591398	0.791747	False
4517866	CP020640.1	11220847	-0.144086	0.371418	False
4518618	CP020627.1	20361125	-0.0741936	0.709715	False
4518701	CP020623.1	32129533	-0.104301	0.464368	False
4518944	CP020634.1	4929849	0	1	False
4519817	CP020626.1	31663653	-0.0290322	1	False
4520574	CP020632.1	22495314	0.274194	0.049153	False
4521488	CP020629.1	12234132	-0.136559	0.271313	False
4522336	CP020635.1	26685320	0.169892	0.162166	False
4522718	CP020629.1	28701322	0.0333334	0.973624	False
4522743	CP020630.1	5800433	0	1	False
4524273	CP020634.1	28629361	-0.0580645	0.810625	False
4524599	CP020637.1	6935130	0.18172	0.24155	False
4524810	CP020621.1	29423917	0	1	False
4524851	CP020623.1	1320141	-0.0946237	0.444854	False
4525407	CP020625.1	25504035	0	1	False
4525447	CP020631.1	18437256	-0.0139785	1	False
4526768	CP020641.1	32668843	0.0537634	0.861184	False
4528108	CP020637.1	16297912	0.00107527	1	False
4528377	CP020644.1	13166278	0	1	False
4528867	CP020635.1	22780610	0	1	False
4529030	CP020639.1	12701171	0	1	False
4530215	CP020637.1	16524759	0	1	False
4530618	CP020633.1	15955417	0	1	False
4530743	CP020627.1	15519753	0	1	False
4531258	CP020622.1	5912472	-0.0451613	0.917204	False
4531772	CP020632.1	12356392	-0.0849462	0.67572	False
4533743	CP020630.1	27991644	-0.11828	0.491734	False
4533784	CP020629.1	19915689	-0.153763	0.305612	False
4533867	CP020642.1	26611319	0.0849462	0.67572	False
4534030	CP020633.1	306348	0.105376	0.485695	False
4534492	CP020621.1	12274770	0.768817	7.03076e-09	True
4535263	CP020633.1	29765363	0	1	False
4536605	CP020639.1	15188003	0	1	False
4536730	CP020643.1	22108878	0	1	False
4539211	CP020624.1	17755813	0	1	False
4539515	CP020623.1	20611329	-0.0301076	1	False
4539939	CP020640.1	3874227	0	1	False
4540184	CP020642.1	15960232	0.00430107	1	False
4540965	CP020626.1	25142974	-0.011828	1	False
4541043	CP020643.1	3038584	-0.112903	0.526105	False
4541048	CP020623.1	1016057	-0.168817	0.132709	False
4541279	CP020626.1	25631467	0.0774193	0.713453	False
4541684	CP020630.1	6157946	-0.168817	0.132709	False
4542048	CP020622.1	21210444	-0.250538	0.0759131	False
4542518	CP020640.1	20759061	-0.105376	0.485695	False
4543028	CP020627.1	20510919	-0.0741936	0.709715	False
4543296	CP020641.1	17584221	-0.0408602	0.937829	False
4543732	CP020628.1	19723595	0.0333334	0.973624	False
4545380	CP020643.1	21259432	0	1	False
4545808	CP020628.1	882660	0.177419	0.249121	False
4545944	CP020634.1	16644567	0	1	False
4546210	CP020641.1	29153440	-0.16129	0.066262	False
4546217	CP020641.1	20592476	-0.235484	0.0390203	False
4546650	CP020621.1	37511346	0.213978	0.155372	False
4546674	CP020630.1	3782207	0	1	False
4547244	CP020624.1	20274893	-0.180645	0.246481	False
4547951	CP020634.1	14083611	0	1	False
4548377	CP020631.1	6671886	0.112903	0.526105	False
4550048	CP020633.1	13704166	0	1	False
4550284	CP020626.1	1290832	0	1	False
4550409	CP020633.1	1868772	0.0451612	0.917204	False
4551225	CP020640.1	10110908	-0.0634409	0.622808	False
4551752	CP020637.1	6156955	0.0838709	0.684937	False
4553015	CP020626.1	6502117	0	1	False
4553061	CP020630.1	8443519	-0.0473118	0.905799	False
4553816	CP020626.1	18507546	0.016129	1	False
4554132	CP020641.1	28342669	0.117204	0.50241	False
4554509	CP020640.1	3466312	0	1	False
4554573	CP020624.1	16704393	0.0365591	0.957978	False
4555358	CP020635.1	3321535	-0.11828	0.491734	False
4555651	CP020624.1	22966301	0	1	False
4556014	CP020624.1	6959099	-0.0913978	0.572829	False
4556931	CP020621.1	29216569	0	1	False
4557179	CP020624.1	16652473	0	1	False
4557471	CP020630.1	7300341	0.00107527	1	False
4558148	CP020634.1	24078557	0	1	False
4559303	CP020636.1	9369714	-0.233333	0.0137661	False
4559762	CP020627.1	1199695	-0.122581	0.4227	False
4559800	CP020627.1	24659692	-0.0290322	1	False
4559922	CP020622.1	9347386	0	1	False
4560015	CP020633.1	23172598	-0.0322581	1	False
4560680	CP020623.1	32878977	0	1	False
4561085	CP020635.1	30036970	0.137634	0.300646	False
4561901	CP020633.1	18119223	0	1	False
4562449	CP020629.1	5532004	-0.072043	0.695957	False
4562937	CP020634.1	15722731	0	1	False
4563185	CP020636.1	32604633	0.201075	0.0508527	False
4563730	CP020642.1	2415330	0.177419	0.249121	False
4564167	CP020639.1	2071897	-0.0741936	0.709715	False
4565379	CP020626.1	28141568	0	1	False
4565448	CP020631.1	1605164	0.0139785	1	False
4565964	CP020622.1	6624013	0.0741935	0.709715	False
4566490	CP020624.1	24464050	0	1	False
4566651	CP020630.1	2543317	0	1	False
4566671	CP020634.1	6101702	0	1	False
4566847	CP020627.1	17201199	0	1	False
4567754	CP020642.1	4348864	0	1	False
4568567	CP020627.1	24395740	0	1	False
4568698	CP020637.1	7104475	0.0473118	0.905799	False
4568956	CP020633.1	20416196	-0.00752689	1	False
4568994	CP020639.1	2744950	0.016129	1	False
4569122	CP020623.1	2968759	-0.278495	0.0544588	False
4569200	CP020632.1	23188229	0.205376	0.124372	False
4569748	CP020641.1	29361949	0	1	False
4570222	CP020639.1	2169474	0.133333	0.110857	False
4571130	CP020629.1	1347461	0.133333	0.110857	False
4571160	CP020622.1	21087733	-0.0150538	1	False
4571442	CP020633.1	20692550	-0.072043	0.695957	False
4571463	CP020627.1	14406110	-0.0290322	1	False
4573999	CP020634.1	23052100	-0.11828	0.491734	False
4574198	CP020633.1	3005494	-0.206452	0.13588	False
4574510	CP020643.1	23763109	0.0483871	0.899647	False
4575229	CP020633.1	709652	-0.207527	0.14489	False
4575681	CP020627.1	26755953	-0.0967742	0.244047	False
4576038	CP020627.1	27976412	0	1	False
4576050	CP020632.1	30588648	0	1	False
4577666	CP020624.1	17327046	0.212903	0.158279	False
4578054	CP020623.1	37715013	0	1	False
4578100	CP020633.1	7272601	0.00537634	1	False
4581039	CP020638.1	1096280	0.169892	0.162166	False
4581324	CP020627.1	691425	0	1	False
4581466	CP020636.1	7363041	0.0752688	0.712706	False
4582549	CP020631.1	4603737	0	1	False
4582564	CP020634.1	25822834	0	1	False
4583116	CP020629.1	5532095	-0.072043	0.695957	False
4583136	CP020639.1	4804385	-0.0311828	1	False
4584151	CP020623.1	32073195	-0.104301	0.464368	False
4584336	CP020639.1	15279196	-0.00860217	1	False
4584623	CP020634.1	13785174	-0.0591398	0.791747	False
4584689	CP020636.1	32636971	0	1	False
4584846	CP020642.1	26609734	0.15914	0.162427	False
4585368	CP020637.1	31253190	0	1	False
4585600	CP020628.1	14931016	0.0709677	0.68308	False
4585671	CP020623.1	37599769	0.00537634	1	False
4585919	CP020630.1	30321095	0.0666667	0.450577	False
4586128	CP020628.1	1128015	0.0333334	0.973624	False
4586229	CP020631.1	6109917	0.235484	0.0390203	False
4587191	CP020627.1	32261131	-0.0602151	0.768103	False
4587586	CP020640.1	8087928	0	1	False
4587990	CP020636.1	15478568	-0.0419355	0.932835	False
4588616	CP020642.1	1221246	-0.0204301	1	False
4588837	CP020627.1	22166057	-0.191398	0.0932656	False
4588929	CP020633.1	14863128	0.217204	0.136215	False
4589002	CP020638.1	28567265	0.121505	0.444828	False
4589050	CP020626.1	32796409	0	1	False
4589217	CP020622.1	891927	0.207527	0.14489	False
4589566	CP020635.1	30396919	-0.0634409	0.622808	False
4589589	CP020633.1	2418053	0.207527	0.14489	False
4590447	CP020623.1	32878977	-0.0935484	0.499803	False
4591670	CP020627.1	1975811	-0.0247312	1	False
4591781	CP020642.1	11810104	-0.172043	0.204983	False
4592418	CP020633.1	26633020	0	1	False
4593296	CP020643.1	15049667	0	1	False
4594222	CP020632.1	2311279	0.0344086	0.969025	False
4594482	CP020629.1	5198153	0	1	False
4595368	CP020636.1	21985492	0.0365591	0.957978	False
4595844	CP020635.1	24729178	0	1	False
4595994	CP020621.1	3223548	-0.258065	0.00900354	False
4596995	CP020642.1	26609823	0.0408602	0.937829	False
4597664	CP020623.1	29230497	0.055914	0.839507	False
4598237	CP020640.1	23135831	0.206452	0.13588	False
4598363	CP020636.1	6130625	0.107527	0.512148	False
4598824	CP020625.1	23246407	-0.0569893	0.826241	False
4598976	CP020641.1	32366489	0.102151	0.39187	False
4598995	CP020637.1	28865460	-0.0483871	0.899647	False
4599232	CP020631.1	4923377	0.0365591	0.957978	False
4600488	CP020621.1	731219	0	1	False
4600853	CP020638.1	8376558	0	1	False
4601788	CP020640.1	11078185	0.0473118	0.905799	False
4602816	CP020632.1	8002098	-0.0774194	0.713453	False
4602844	CP020635.1	16639199	-0.0505376	0.886108	False
4603275	CP020627.1	3499600	0	1	False
4603793	CP020628.1	22180636	0	1	False
4604853	CP020641.1	32217342	-0.150538	0.347698	False
4606732	CP020624.1	25364091	0	1	False
4607313	CP020627.1	2303069	-0.0322581	1	False
4608168	CP020631.1	8028973	0	1	False
4608187	CP020643.1	17258602	0.0731183	0.704393	False
4608652	CP020626.1	7267136	0	1	False
4608662	CP020627.1	3316673	0.0924731	0.540837	False
4610802	CP020641.1	7099493	0	1	False
4610814	CP020622.1	15632636	0	1	False
